id,archive_id,location,doc_type,project_path,project_folder_name,comlist_path,output_dir,processing_complete,retain_sources,created_at,updated_at,owner_id,add_to_database,has_oversized,total_pages,total_pages_with_refs,has_pdf_folder,pdf_folder_path,data_dir,distribution_complete,documents_with_oversized,film_allocation_complete,index_path,total_oversized,folder_path,name,handoff_complete
2,RRD013-2022,OU,Arbeitspläne,X:\RRD013-2022_OU_Arbeitspläne,RRD013-2022_OU_Arbeitspläne,X:\RRD013-2022_OU_Arbeitspläne\RRD013-2022 - Comliste.xlsx,X:\RRD013-2022_OU_Arbeitspläne\.output,0,1,2025-05-21 07:23:27.884500,2025-05-21 07:33:37.885190,1,1,0,,,1,X:\RRD013-2022_OU_Arbeitspläne\PDFs zum RRD013-2022,,1,0,1,,0,,,1
3,RRD080-2022,OU,BAM,X:\RRD080-2022_OU_BAM,RRD080-2022_OU_BAM,X:\RRD080-2022_OU_BAM\RRD080-2022_COM-List.xls,X:\RRD080-2022_OU_BAM\.output,0,1,2025-05-21 10:37:03.900029,2025-05-21 10:37:41.648201,1,1,0,,,1,X:\RRD080-2022_OU_BAM\RRD080-2022_OU-PDF,,1,0,1,,0,,,1
