id,pages,start_page,end_page,start_frame,end_frame,document_index,has_oversized,blip,blipend,created_at,document_id,roll_id
1,20,1,20,1,20,1,0,10000001-0001.00001,10000001-0001.00020,2025-05-21 07:33:02.654994,1,1
2,16,1,16,21,36,2,0,10000001-0002.00021,10000001-0002.00036,2025-05-21 07:33:02.656655,2,1
