id,roll_id,film_number,film_type,capacity,pages_used,pages_remaining,status,has_split_documents,creation_date,is_partial,remaining_capacity,usable_capacity,film_number_source,project_id,created_temp_roll_id,source_temp_roll_id,output_directory,filming_completed_at,filming_progress_percent,filming_session_id,filming_started_at,filming_status,filmed_at,roll_number,development_completed_at,development_progress_percent,development_started_at,development_status
1,,10000001,16mm,2900,460,2440,active,0,2025-05-21 07:33:02.652813,1,0,0,new,2,,,X:\RRD013-2022_OU_Arbeitspläne\.output\10000001,2025-06-02 05:38:30,100,,,completed,,,2025-06-02 07:30:03.099832,100,2025-06-02 07:24:22.388813,completed
2,,10000002,16mm,2440,328,2112,active,0,2025-05-21 10:37:31.525832,1,0,0,temp_roll,3,,,X:\RRD080-2022_OU_BAM\.output\10000002,2025-06-02 05:38:30.925981,100,,,completed,,,2025-06-02 07:39:23.099922,100,2025-06-02 07:31:43.220336,completed
