id,doc_id,path,pages,has_oversized,total_oversized,total_references,is_split,roll_count,created_at,updated_at,project_id,com_id
1,1427004807000278.pdf,X:\RRD013-2022_OU_Arbeitspläne\PDFs zum RRD013-2022\1427004807000278.pdf,20,0,0,0,0,1,2025-05-21 07:33:02.654269,2025-07-23 10:54:46.263109,2,70017200
2,1427004807000279.pdf,X:\RRD013-2022_OU_Arbeitspläne\PDFs zum RRD013-2022\1427004807000279.pdf,16,0,0,0,0,1,2025-05-21 07:33:02.656222,2025-07-23 10:54:46.307902,2,70017201
