140000623     1427003704002160                                402100-0.0040.05319
140000624     1427003704002161                                402100-0.0041.05325
140000625     1427003704002162                                402100-0.0042.05470
140000626     1427003704002163                                402100-0.0043.05570
140000627     1427003704002164                                402101-0.0001.00001
140000628     1427003704002165                                402101-0.0002.00203
140000629     1427003704002166                                402101-0.0003.00432
140000630     1427003704002167                                402101-0.0004.00898
140000631     1427003704002168                                402101-0.0005.00935
140000632     1427003704002169                                402101-0.0006.00951
140000633     1427003704002170                                402101-0.0007.00966
140000634     1427003704002171                                402101-0.0008.00976
140000635     1427003704002172                                402101-0.0009.01412
140000636     1427003704002173                                402101-0.0010.01600
140000637     1427003704002174                                402101-0.0011.01806
140000638     1427003704002175                                402101-0.0012.01818
140000639     1427003704002176                                402101-0.0013.01830
140000640     1427003704002177                                402101-0.0014.02833
140000641     1427003704002178                                402101-0.0015.02950
140000642     1427003704002179                                402101-0.0016.03120
140000643     1427003704002180                                402101-0.0017.03226
140000644     1427003704002181                                402101-0.0018.03295
140000645     1427003704002182                                402101-0.0019.03371
140000646     1427003704002183                                402101-0.0020.03444
140000647     1427003704002184                                402101-0.0021.03688
140000648     1427003704002185                                402101-0.0022.03714
140000649     1427003704002186                                402101-0.0023.03864
140000650     1427003704002187                                402101-0.0024.04501
140000651     1427003704002188                                402101-0.0025.05275
140000652     1427003704002189                                402101-0.0026.05284
140000653     1427003704002190                                402101-0.0027.05288
140000654     1427003704002191                                402101-0.0028.05300
140000655     1427003704002192                                402101-0.0029.05477
140000656     1427003704002193                                402101-0.0030.05624
140000657     1427003704002194                                402101-0.0031.05636
140000658     1427003704002195                                402102-0.0001.00001
140000659     1427003704002196                                402102-0.0002.00104
140000660     1427003704002197                                402102-0.0003.00229
140000661     1427003704002198                                402102-0.0004.00328
140000662     1427003704002199                                402102-0.0005.00430
140000663     1427003704002200                                402102-0.0006.00457
140000664     1427003704002201                                402102-0.0007.00469
140000665     1427003704002202                                402102-0.0008.00481
140000666     1427003704002203                                402102-0.0009.00688
140000667     1427003704002204                                402102-0.0010.00745
140000668     1427003704002205                                402102-0.0011.01016
140000669     1427003704002206                                402102-0.0012.01354
140000670     1427003704002207                                402102-0.0013.01514
